Bairro,Zona,Cidade,UF
Vila Sílvia,Norte,São Paulo,SP
Vila Sampaio,Norte,São Paulo,SP
Vila Santa Catarina,Sul,São Paulo,SP
Vila Santa Clara,Norte,São Paulo,SP
Vila Santa Cruz,Norte,São Paulo,SP
Vila Santa Cruz (Zona Leste),Leste,São Paulo,SP
Vila Santa Delfina,Leste,São Paulo,SP
Vila Santa Edwiges,Norte,São Paulo,SP
Vila Santa Eulalia,Norte,São Paulo,SP
Vila Santa Inês,Norte,São Paulo,SP
Vila Santa Isabel,Norte,São Paulo,SP
Vila Santa Lúcia,Norte,São Paulo,SP
Vila Santa Maria,Norte,São Paulo,SP
Vila Santa Teresa (Zona Leste),Leste,São Paulo,SP
Vila Santa Teresa (Zona Sul),Sul,São Paulo,SP
Vila Santa Teresinha,Norte,São Paulo,SP
Vila Santa Terezinha (Zona Norte),Norte,São Paulo,SP
Vila Santa Virginia,Norte,São Paulo,SP
Vila Santana,Norte,São Paulo,SP
Vila Santista,Norte,São Paulo,SP
Vila Santo Antônio,Norte,São Paulo,SP
Vila Santo Estéfano,Sul,São Paulo,SP
Vila Santo Estevão,Norte,São Paulo,SP
Vila Santo Henrique,Norte,São Paulo,SP
Vila Santos,Norte,São Paulo,SP
Vila Sapopemba,Leste,São Paulo,SP
Vila Seabra,Norte,São Paulo,SP
Vila Serralheiro,Norte,São Paulo,SP
Vila Silva Teles,Leste,São Paulo,SP
Vila Simone,Norte,São Paulo,SP
Vila Sinhá,Norte,São Paulo,SP
Vila Siqueira (Zona Leste),Leste,São Paulo,SP
Vila Siqueira (Zona Norte),Norte,São Paulo,SP
Vila Sirene,Norte,São Paulo,SP
Vila Siria,Norte,São Paulo,SP
Vila Socorro,Sul,São Paulo,SP
Vila Sofia,Norte,São Paulo,SP
Vila Solange,Norte,São Paulo,SP
Vila Souza,Norte,São Paulo,SP
Vila Suíça,Norte,São Paulo,SP
Vila Sulina,Sul,São Paulo,SP
Vila Suzana,Oeste,São Paulo,SP
Vila Talarico,Norte,São Paulo,SP
Vila Taquari,Leste,São Paulo,SP
Vila Teresinha,Norte,São Paulo,SP
Vila Tiradentes,Norte,São Paulo,SP
Vila Tolstoi,Leste,São Paulo,SP
Vila Tramontano,Oeste,São Paulo,SP
Vila Uberabinha,Sul,São Paulo,SP
Vila União (Zona Leste),Leste,São Paulo,SP
Vila União (Zona Norte),Norte,São Paulo,SP
Vila Universitária,Sul,São Paulo,SP
Vila Ursulina,Norte,São Paulo,SP
Vila Valdemar,Norte,São Paulo,SP
Vila Vasconcelos,Sul,São Paulo,SP
Vila Vera,Norte,São Paulo,SP
Vila Verde,Norte,São Paulo,SP
Vila Vermelha,Sul,São Paulo,SP
Vila Vessoni,Norte,São Paulo,SP
Vila Virginia,Norte,São Paulo,SP
Vila Vitório Mazzei,Norte,São Paulo,SP
Vila Yara,Oeste,São Paulo,SP
Vila Zat,Norte,São Paulo,SP
Vila Zefira,Norte,São Paulo,SP
Vila Zelina,Leste,São Paulo,SP
Vila Zilda (Tatuapé),Leste,São Paulo,SP
Vila Zilda (Zona Norte),Norte,São Paulo,SP
Vila Zulmira,Norte,São Paulo,SP
